company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Palo Alto Networks,,AI Compliance,"London, UK",0.9,,,,"saas audit, generative ai compliance, ai agent security, llm security"
Startup372,,SSPM,"New York, NY",0.85,,,,"ai policy, generative ai compliance, sspm"
Startup197,,SaaS Security,"Seattle, WA",0.8,,,,"shadow it, autonomous agent security"
Startup20,,SSPM,"New York, NY",0.85,,,,"security posture management, ai agent security, ai compliance, ai governance, shadow it"
Startup91,,SaaS Compliance,"Boston, MA",0.85,,,,"cloud compliance, saas compliance"
Startup70,,AI Agent Security,"New York, NY",0.8,,,,"ai agent security, generative ai compliance, ai agent risk, cloud governance"
KPMG,,AI Agent Security,"Boston, MA",0.8,,,,"llm compliance, autonomous agent security"
Startup226,,SSPM,"Boston, MA",0.85,,,,"autonomous agent security, cloud governance, ai governance, ai policy, saas posture management"
Startup142,,SSPM,"San Francisco, CA",0.85,,,,"genai security, saas compliance, security posture management, ai security"
Startup37,,SaaS Security,"Denver, CO",0.9,,,,"cloud application security, llm security, saas security, ai agent risk"
Startup201,,SaaS Security,"Austin, TX",0.8,,,,"saas governance, ai agent security"
Verizon,,SSPM,"London, UK",0.85,,,,"saas posture management, saas security, cloud governance, ai governance"
Startup256,,SSPM,Hybrid - Bay Area,0.85,,,,"shadow it, saas security, saas security posture, sanctioned it"
Zscaler,,SSPM,"Austin, TX",0.85,,,,"saas compliance, sspm, genai security, ai agent risk"
Startup136,,SSPM,"Denver, CO",0.85,,,,"sspm, genai security"
Startup327,,SaaS Compliance,"San Francisco, CA",0.9,,,,"saas compliance, generative ai compliance, saas governance, sanctioned it, cloud compliance"
Raytheon,,SaaS Security,"San Francisco, CA",0.7,,,,"ai agent risk, shadow it"
Startup334,,SaaS Security,"Seattle, WA",0.85,,,,"genai security, saas security posture"
Startup200,,SaaS Security,Remote (US),0.9,,,,"cloud application security, saas security, saas security posture, cloud governance, ai governance"
ExxonMobil,,SSPM,Remote,0.85,,,,"cloud governance, sspm, llm compliance, cloud compliance"
McAfee,,SaaS Compliance,Hybrid - Bay Area,0.85,,,,"cloud compliance, saas compliance, saas security"
Startup110,,SSPM,"Austin, TX",0.85,,,,"saas audit, security posture management, cloud app security"
Charter,,SSPM,Remote (US),0.85,,,,"saas audit, saas posture management, sanctioned it, generative ai compliance"
Startup47,,SSPM,"Seattle, WA",0.85,,,,"saas posture management, ai security"
Startup172,,AI Agent Security,"New York, NY",0.7,,,,"llm security, ai governance"
Startup87,,AI Compliance,"Toronto, Canada",0.9,,,,"generative ai compliance, llm compliance, llm security"
Startup88,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud compliance, sspm, generative ai compliance"
Etsy,,SaaS Security,"San Francisco, CA",0.9,,,,"autonomous agent security, genai security, saas audit, ai agent security"
Startup144,,SSPM,Remote (US),0.85,,,,"ai compliance, security posture management"
Startup310,,SaaS Security,"Seattle, WA",0.8,,,,"shadow it, llm security, cloud compliance"
Startup148,,SSPM,"Boston, MA",0.9,,,,"cloud application security, llm compliance, cloud compliance, sanctioned it, saas posture management"
Startup123,,SaaS Compliance,Hybrid - Bay Area,0.8,,,,"saas risk, generative ai compliance"
